id,cluster_id,cluster_name,distance_from_centroid
722,0,High-Quality Compounders,0.1833197645257322
794,0,High-Quality Compounders,0.13837609074731863
344,0,High-Quality Compounders,0.1687326118784299
296,0,High-Quality Compounders,1.4966933945842018
416,0,High-Quality Compounders,0.17572154140343557
284,0,High-Quality Compounders,0.17939500046842333
818,0,High-Quality Compounders,0.1556545864881327
919,0,High-Quality Compounders,0.05340073147186554
404,0,High-Quality Compounders,0.18167739968133234
918,0,High-Quality Compounders,0.05340073147186554
1141,0,High-Quality Compounders,0.1400281832310909
830,0,High-Quality Compounders,0.2609663558472432
47,0,High-Quality Compounders,0.12536572075635494
392,0,High-Quality Compounders,0.15775067885755845
842,0,High-Quality Compounders,0.18229380666754036
633,0,High-Quality Compounders,0.18489306371573358
308,0,High-Quality Compounders,0.33971767174905093
380,0,High-Quality Compounders,0.15802471380134095
1129,0,High-Quality Compounders,0.1701881026080162
621,0,High-Quality Compounders,0.5215379832819581
59,0,High-Quality Compounders,0.09181275529913377
368,0,High-Quality Compounders,0.10577332504701636
320,0,High-Quality Compounders,0.49176446294583315
106,0,High-Quality Compounders,0.12139833092830472
356,0,High-Quality Compounders,0.1850534834135738
332,3,Distressed or Turnaround,1.1226174742317434
874,0,High-Quality Compounders,0.3246568835066697
873,0,High-Quality Compounders,0.3246568835066697
872,0,High-Quality Compounders,0.3246568835066697
871,0,High-Quality Compounders,0.3246568835066697
870,0,High-Quality Compounders,0.3246568835066697
938,0,High-Quality Compounders,0.2187672677116237
612,0,High-Quality Compounders,0.18364228776042416
1117,0,High-Quality Compounders,0.14153363916408465
272,0,High-Quality Compounders,0.09568441574161592
39,0,High-Quality Compounders,0.08605441586861724
440,0,High-Quality Compounders,0.16488726627198655
260,0,High-Quality Compounders,0.18551163193933712
1085,0,High-Quality Compounders,0.17974516596736614
806,0,High-Quality Compounders,0.10342468143270185
428,0,High-Quality Compounders,0.12738414001438791
950,0,High-Quality Compounders,0.12669456751477207
1086,0,High-Quality Compounders,0.17974516596736614
1154,0,High-Quality Compounders,0.1339246598023016
369,0,High-Quality Compounders,0.15020874041792165
167,0,High-Quality Compounders,2.0036183252376083
10,0,High-Quality Compounders,0.18468223574580267
660,0,High-Quality Compounders,0.11444996755218502
11,0,High-Quality Compounders,0.18468223574580267
1130,0,High-Quality Compounders,0.17081177062916816
622,0,High-Quality Compounders,0.580606401268031
555,0,High-Quality Compounders,0.18473049191898566
543,4,Emerging Growth,0.8733316642471375
1087,0,High-Quality Compounders,0.17575960873424795
107,0,High-Quality Compounders,0.11489562960970598
60,0,High-Quality Compounders,0.10732869500976426
711,0,High-Quality Compounders,0.21447543902527186
1178,0,High-Quality Compounders,1.9813310359068954
309,0,High-Quality Compounders,0.49207157065139984
179,0,High-Quality Compounders,0.08641734915882361
1034,0,High-Quality Compounders,0.11980782250115164
84,0,High-Quality Compounders,4.508909279537938
699,0,High-Quality Compounders,0.17361664488714784
939,0,High-Quality Compounders,0.31885976150606515
531,0,High-Quality Compounders,1.4086777035701823
441,0,High-Quality Compounders,0.10511050687189585
261,0,High-Quality Compounders,0.1869069416711188
672,0,High-Quality Compounders,0.08208229724916424
579,0,High-Quality Compounders,0.48297240884808634
449,0,High-Quality Compounders,1.283679638593406
148,0,High-Quality Compounders,0.18487215003709362
149,0,High-Quality Compounders,0.18487215003709362
333,3,Distressed or Turnaround,1.7077721592250776
249,0,High-Quality Compounders,0.18993928878835176
357,0,High-Quality Compounders,0.18588975912219968
